Date,Open,High,Low,Close
5/26/18,7462.65,7647.46,7300.01,7333.2
5/25/18,7572.49,7659.97,7322.29,7462.65
5/24/18,7497.47,7746.18,7268.99,7572.49
5/23/18,7985.77,8026.37,7438.43,7497.47
5/22/18,8395.71,8402.79,7955.01,7985.77
5/21/18,8515.17,8588,8315.49,8395.71
5/20/18,8240.01,8600,8168.01,8515.17
5/19/18,8230,8392,8152.49,8240.01
5/18/18,8060.01,8279,7919.2,8230
5/17/18,8344.94,8487.15,7999,8060.01
5/16/18,8475.58,8501.53,8110,8344.94
5/15/18,8682.73,8846.13,8418.65,8475.58
5/14/18,8685.5,8899.62,8283.55,8682.73
5/13/18,8466.31,8755,8340.1,8685.5
5/12/18,8451.19,8647.84,8221,8466.31
5/11/18,9017.58,9022.05,8350.18,8398.44
5/10/18,9308.45,9387.98,9006,9017.58
5/9/18,9181.42,9359.25,8953.26,9308.45
5/8/18,9361.96,9450,9050,9181.42
5/7/18,9599.88,9618.16,9175,9361.96
5/6/18,9812.81,9890,9399,9599.88
5/5/18,9691.37,9940,9668.67,9812.81
5/4/18,9727.5,9780,9508,9691.37
5/3/18,9211.7,9786.01,9163.25,9727.5
5/2/18,9059.84,9259,8975,9211.7
5/1/18,9244.38,9248.8,8816.08,9059.84
4/30/18,9393.29,9440.91,9110,9244.38
4/29/18,9343.83,9522.12,9176.76,9393.29
4/28/18,8926,9422.29,8880.01,9343.83
4/27/18,9281.95,9368,8901.27,8926
4/26/18,8865.01,9315.24,8660,9281.95
4/25/18,9649.99,9762.75,8755,8865.01
4/24/18,8933,9740.97,8925,9649.99
4/23/18,8800,8990,8775,8933
4/22/18,8920,9017,8755,8800
4/21/18,8847.07,9038,8602.08,8920
4/20/18,8269.3,8932.16,8215,8855.49
4/19/18,8167,8295.73,8090,8269.3
4/18/18,7894,8227.32,7880,8167
4/17/18,8052.27,8165.07,7820.01,7894
4/16/18,8357.43,8415,7900,8052.27
4/15/18,7998.07,8413.43,7998.07,8357.43
4/14/18,7875.94,8175.86,7820.67,7998.07
4/13/18,7920.39,8223.58,7732.43,7875.94
4/12/18,6939.43,8076.83,6766.18,7920.39
4/11/18,6830.68,6966.84,6801.68,6939.43
4/10/18,6771.01,6876.33,6651.12,6830.68
4/9/18,7022.72,7176.99,6612.35,6771.01
4/8/18,6895.99,7100,6889.5,7022.72
4/7/18,6592.94,7069.18,6592.94,6895.99
